fingerprint,delay,variance,times
00030309EF47C06C3F0FDDA11067CD206092798D,0.305525338,0.013490949,32
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,0.207387263,0.002590623,19
0011254CC8444369B20EF11156B8990438221A54,0.17504555,0.004655538,8
0011BD2485AD45D984EC4159C88FC066E5E3300E,0.479041533,0.12236168,3
0017A4738B6FFC5E3D0FC7EE380C10FC2160328A,0.34304196,0.005437295,5
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,0.292296564,0.0031361,11
00283B5564E3072DCDDAB31D6EF622DD49BF524F,0.357450453,0.005561322,30
0036FA36AB435FD5D0F640626636867EBFB72C68,0.22669564,0.018662366,35
003A08F1ADC002D24979C68AA5A33369C04D9C7F,0.319018455,0.003604044,11
004F9A0513C84E72054CEB555DB51EEEF319546D,0.446362767,0.007901621,12
0055DB090820D7C08999EC1598FD6EA6365861AD,0.4858604,0.159614697,8
005ED97213F725867E422B8DC0443361BBB24E3C,0.1781683,0.001042429,4
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,0.24559582,0.005155938,10
0077640E103A829BF8228D42F95818DAD1E9D84C,0.243351133,0.010117815,3
008269B0D282617EBE0BB995461C78D77B7525F6,0.320589,0.029878015,15
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,0.325490278,0.004239609,64
008F10F88397C11C062217EAC35D782F03BDF4C7,0.445360874,0.006885125,19
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,0.463376573,0.036791567,15
00A13056C61CE4C535A64D0207C6DD95771E1033,0.22270345,0.001875187,4
00B4800E78BA158B016965F7DB9B9041F8834E2E,0.18729355,0.002244767,4
00B57BF614F7ED3051073B5D4526FF0B23AF217B,0.419867533,0.022570104,5
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C,0.442829714,0.005200129,7
00C7825A1A6FC87DBF9BA0BC83FD60BAA3869136,0.282889246,0.01034429,13
00CC3A3D92C33E171BBDAEACC4601173BFA24150,0.211814323,0.003781815,13
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,0.22424425,0.017547427,8
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,0.306138092,0.014888266,50
00DB715E05F171B552D2C811763394B0BB3DF156,0.303550073,0.248418112,11
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,0.3956304,0.04042695,6
00F1F247B391B84CB6C221720BCBFC0DFDB91117,0.296266545,0.012846664,51
00FB85B65AC2F460CD46A3B6E5639821E3F52048,0.417000435,0.006318674,17
00FF9083A2736D7E13C2ED8F51A2365BDC1F5C0E,0.368056738,0.090229931,16
0107BFF77A91D06269ECACD1EF40AD8B5B582066,0.1480134,3.57E-05,2
010D853EA9DC7BEAA3BF9B1910D0AF6439C43CAC,0.463470714,0.055833598,14
0111BA9B604669E636FFD5B503F382A4B7AD6E80,0.31900156,0.003893381,20
0123DBE1B8F81E0B350794CFE4AE172E12FDA401,0.1596054,0.000100714,1
0138DDE95A04DF80DAF96111C93051BBBB6BF0A2,0.252210913,0.010428182,16
013ABAED8F4CDB677BE0B5212E4B2583B86035EE,0.316060047,0.041331478,38
013AD81926572519EBCB7048E78462B5E9F1319D,0.270232925,0.002818268,16
014326416058DCFD0965167026CBEF647409A000,0.44493196,0.596883007,5
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD,0.3872687,0.003556001,8
014BD09636373B78CC28BA70E36C7190E3DE236A,0.448291867,0.010384337,6
0155DD3B3E26673F7EB1AA22E0A904BA434D1F00,0.321224163,0.013218108,65
015AB136B11A949009A160747296B21B9FA21D69,0.481216667,0.002917682,3
0165267F20391424CE5AEA316A7C6372C0EEF198,0.254265854,0.004041615,37
0167818895813BBBBBA441B789944E937231C1D9,0.4511336,0.00365037,1
016F1C83981BF2BEE449A3EA760E1DE2380C01EB,0.16588424,0.001819548,5
017B08CC163424CD6ABA4ADD4042B4174D494732,0.345794426,0.018775725,35
01870F782E458F124563328DB57EB82F4475BDE0,0.3204749,0.000528319,2
0198F7DF09A6E1C02C959D9EAAD274C3DE4E8067,0.246631333,0.00392908,9
01B8F18C11CE2877E8190FA2C81808CD087515C0,0.43267355,0.006748728,4
01BD2AD1F4E290289DF19E0AA543F1408188B4DD,0.325993533,0.039809536,3
01E388EF92B569074D8FA86CC9D442E829F6E885,0.206998514,0.002115881,14
01F648AFD7FCC68E7917F42CF3533CC5D3A93DF1,0.242343376,0.009514567,17
01F92D627F69BC403792D31C9368A5AEA5C97853,0.5974282,0.006512229,2
01FF9C8571D1C09FA8D2ACCE727D5530FEC10038,0.539077933,0.005180921,3
0208D845AE14662232294F42671C18F02F2DEB85,0.27426998,0.004975364,10
02095010E2510E0F5EDAEB566DA66D45E37F9A00,0.141860733,0.000106413,3
020CEA637EFE4E9E88F3770356B1313D973893AB,0.303259978,0.010669294,9
021DDCD687FD505B7EA7E75DA6CEF0D778AA07FB,0.318115738,0.073058154,16
02351FC88D0BF06F6CDE5452656641E6119DBD7E,0.322849308,0.014266968,26
024BEAF1A4B3F01BB7DCC36402EC8764816129D5,0.1008556,9.92E-05,1
02654B8B9803775860CDF2C7F7109FF68A1349AA,0.389642564,0.004382799,7
0273FCDE81A7A3B33F4EB369D20D9A77C6178854,0.4942852,0.006384888,1
02740F472D1DA5C1B77475F18940FE79F15AF4B8,0.3897928,0.004048364,1
027E75C92F1231AE5F7BD4E1536696FE3040C460,0.374667524,0.024073888,21
028BEF4A81578286BAA1352C73E4609B9915C687,0.28789545,0.006010212,24
02A0D8DDF4DA4E601C1C66143BB0C8A0F2F3C857,0.251410989,0.006217151,19
02B2152129686AE0BE05F3D1460591DD71C4BB15,0.32955075,0.004139012,8
02C7A07B1214AA338A705EFCCA409D700F757201,0.359365214,0.019413346,14
02C7EECCDF7814FBA2DB1CBAED000D06E8A32EE8,0.281562884,0.005131386,38
02CADF3D3502B55102F3520C7AC345CA68F3DA04,0.308729831,0.007302762,13
02D634ADD9B41677D2834BF2C5203B6833DE7380,0.454749933,0.003466748,3
02EC629306C61EE1D3BDD4DD978514B99E226EA0,0.28365001,0.00415369,39
02FCF62C0AD3AD1D208D7F27E12E8840EF53C7E0,0.401741543,0.003963077,7
02FD06C6C60FF4C962E3EAD310410A47B1952DFE,0.300807193,0.009843413,27
03000EDDFEB7DB6A4171D09D2DF028ADA6B27DEE,0.43592592,0.006013339,15
